Row Labels,Weighted Return Tc
09/23/2004,-0.003003215
09/24/2004,-0.003100366
09/27/2004,-0.003328624
09/28/2004,0.007729533
09/29/2004,0.002241791
09/30/2004,-0.002517031
10/01/2004,0.000781818
10/04/2004,0.020009693
10/05/2004,0.007019302
10/06/2004,-0.0011694
10/07/2004,-0.020227565
10/08/2004,-0.002775185
10/11/2004,0.004473507
10/12/2004,0.021245601
10/13/2004,0.003697534
10/14/2004,-0.003380598
10/15/2004,0.006913978
10/18/2004,0.015462634
10/19/2004,-0.002961891
10/20/2004,0.00524134
10/21/2004,-0.004113685
10/22/2004,0.004444478
10/25/2004,-0.017265353
10/26/2004,-0.004044092
10/27/2004,0.011294291
10/28/2004,0.007466825
10/29/2004,0.005226316
11/01/2004,-0.003805035
11/02/2004,0.008658329
11/03/2004,0.004873933
11/04/2004,0.003113483
11/05/2004,-0.011587841
11/08/2004,0.001738405
11/09/2004,-0.005900768
11/10/2004,0.016988045
11/11/2004,0.001179368
11/12/2004,-0.005351273
11/15/2004,0.0124303
11/16/2004,0.021304538
11/17/2004,-0.006694483
11/18/2004,-0.014908038
11/19/2004,0.014364939
11/22/2004,0.005911393
11/23/2004,0.00228306
11/24/2004,-0.012551888
11/26/2004,0.004436297
11/29/2004,0.000877381
11/30/2004,0.006595048
12/01/2004,-0.013032145
12/02/2004,0.009717897
12/03/2004,-0.001765403
12/06/2004,-0.001000253
12/07/2004,0.009964138
12/08/2004,0.004776277
12/09/2004,0.002922241
12/10/2004,-0.005264564
12/13/2004,-0.004930927
12/14/2004,0.006561363
12/15/2004,0.001471519
12/16/2004,-0.029448348
12/17/2004,0.00493945
12/20/2004,-0.004860454
12/21/2004,0.004402258
12/22/2004,0.017318669
12/23/2004,0.006002623
12/27/2004,-0.014226188
12/28/2004,0.012469043
12/29/2004,-0.006786356
12/30/2004,0.009213676
12/31/2004,0.007849009
