d,rf_str,mkt_str,smb_str,hml_str,umd_str
2009-03-20, 0,-2.05000005662441E-02,-3.10000008903444E-03,-5.40000014007092E-03, 2.87999995052814E-02
2009-03-23, 0, 6.97000026702881E-02,-4.90000005811453E-03, 2.95000001788139E-02,-7.54999965429306E-02
2009-03-24, 0,-1.99999995529652E-02,-1.20000001043081E-02,-9.99999977648258E-03, 2.30000005103648E-03
2009-03-25, 0, 8.99999961256981E-03, 1.13000003620982E-02, 5.40000014007092E-03,-6.00000005215406E-03
2009-03-26, 0, 2.55999993532896E-02, 1.68999992311001E-02, 3.00000014249235E-04,-2.32999995350838E-02
2009-03-27, 0,-2.17000003904104E-02,-1.15999998524785E-02, 3.50000010803342E-03, 9.80000011622906E-03
2009-03-30, 0,-3.64999994635582E-02, 1.38999996706843E-02,-3.10999993234873E-02, 6.63999989628792E-02
2009-03-31, 0, 1.43999997526407E-02,-3.1999999191612E-03, 9.60000045597553E-03,-.016100000590086
2009-04-01, 0, 1.73000004142523E-02,-4.39999997615814E-03, 1.26000000163913E-02,-2.62000001966953E-02
2009-04-02, 0, 3.20000015199184E-02, 1.48999998345971E-02, 7.79999978840351E-03,-4.30999994277954E-02
2009-04-03, 0, 1.18000004440546E-02,-1.50000001303852E-03, 8.10000021010637E-03,-3.15000005066395E-02
2009-04-06, 0,-9.70000028610229E-03,-5.59999980032444E-03,-5.2000000141561E-03, 2.09999992512167E-03
2009-04-07, 0,-.025000000372529,-6.00000005215406E-03,-1.50000001303852E-03, 1.86999998986721E-02
2009-04-08, 0, 1.32999997586012E-02, 1.02000003680587E-02, 6.99999975040555E-04,-1.02000003680587E-02
2009-04-09, 0, 3.97999994456768E-02, 6.89999992027879E-03, .031700000166893,-8.25000032782555E-02
2009-04-13, 0, 3.89999989420176E-03,-6.09999988228083E-03, 1.68999992311001E-02,-3.94000001251698E-02
2009-04-14, 0,-1.97000000625849E-02,-2.49999994412065E-03,-2.25000008940697E-02, 1.42000000923872E-02
2009-04-15, 0, 1.25000001862645E-02, 3.9999998989515E-04, 1.88999995589256E-02,-2.00999993830919E-02
2009-04-16, 0, 1.64000000804663E-02, 1.15999998524785E-02, 6.99999975040555E-04,-.017000000923872
2009-04-17, 0, 6.20000017806888E-03, 7.69999995827675E-03, 3.10000008903444E-03,-1.99999995529652E-02
2009-04-20, 0,-4.52000014483929E-02,-1.79999996908009E-03,-.033100001513958, 7.10000023245811E-02
2009-04-21, 0, 2.29000002145767E-02, 9.20000020414591E-03, 2.45999991893768E-02,-3.95999997854233E-02
2009-04-22, 0,-5.70000009611249E-03, 1.31999999284744E-02,-8.10000021010637E-03,-1.68999992311001E-02
2009-04-23, 0, 9.10000037401915E-03,-1.79999992251396E-02, 5.10000018402934E-03,-.010499999858439
2009-04-24, 0, 1.92000009119511E-02, 7.00000021606684E-03, 7.999999797903E-04,-3.46999987959862E-02
2009-04-27, 0,-.011400000192225,-4.30000014603138E-03,-.015599999576807, 2.19999998807907E-02
2009-04-28, 0,-2.79999990016222E-03, 8.60000029206276E-03, 7.999999797903E-04, .012699999846518
2009-04-29, 0, 2.45999991893768E-02, 7.49999983236194E-03, 8.60000029206276E-03,-2.76999995112419E-02
2009-04-30, 0,-5.00000023748726E-04,-4.30000014603138E-03,-3.40000004507601E-03,-2.58000008761883E-02
2009-05-01, 0, 6.00000005215406E-03,-6.30000000819564E-03, 3.40000004507601E-03,-1.90999992191792E-02
2009-05-04, 0, 3.59999984502792E-02,-2.89999996311963E-03, .023199999704957,-5.27999997138977E-02
2009-05-05, 0,-3.40000004507601E-03, 1.9000000320375E-03,-3.9999998989515E-04,-1.25000001862645E-02
2009-05-06, 0, 1.60000007599592E-02,-1.78999993950129E-02, .022299999371171,-3.57999987900257E-02
